data_column,label
associated features supporting diagnosis separated major attachment figures children separation anxiety disorder may exhibit social withdrawal apathy sadness difficulty concentrating work play,1
depending age individuals may fears animals monsters dark muggers burglars kidnappers car accidents plane travel situations perceived presenting danger family,1
individuals become homesick uncomfortable point misery away home,1
separation anxiety disorder children may lead school refusal turn may lead academic difficulties social isolation,1
extremely upset prospect separation chil­ dren may show anger occasionally aggression toward someone forcing separa­ tion,1
alone especially evening dark young children may report unusual perceptual experiences eg seeing people peering room frightening creatures reaching feeling eyes staring,1
children disorder may de­ scribed demanding intrusive need constant attention adults may ap­ pear dependent overprotective,1
individuals excessive demands often become source frustration family members leading resentment conflict family,1
prevalence 12month prevalence separation anxiety disorder among adults united states 0919,1
children 6 12month prevalence estimated approximately 4,1
adolescents united states 12month prevalence 16,1
separation anxiety disorder decreases prevalence childhood adolescence adulthood prevalent anxiety disorder children younger 12 years,1
clinical sam­ ples children disorder equally common males females,1
community disorder frequent females,1
development course periods heightened separation anxiety attachment figures part normal early development may indicate development secure attachment relationships eg around 1 year age infants may suffer stranger anxiety,1
onset separation anxiety disorder may early preschool age may occur time child­ hood rarely adolescence,1
typically periods exacerbation re­ mission,1
cases anxiety possible separation avoidance situations involving separation home nuclear family eg going away col­ lege moving away attachment figures may persist adulthood,1
however majority children separation anxiety disorder free impairing anxiety dis­ orders lifetimes,1
many adults separation anxiety disorder recall childhood onset separation anxiety disorder although may recall symptoms,1
manifestations separation anxiety disorder vary age,1
younger children reluctant go school may avoid school altogether,1
younger children may express worries 6r specific fears definite threats parents home anxiety manifested separation experienced,1
children age worries emerge often worries specific dangers eg accidents kidnapping mug­ ging death vague concerns reunited attachment figures,1
adults separation anxiety disorder may limit ability cope changes circumstances eg moving getting married,1
adults disorder typically overconcemed offspring spouses experience marked discomfort separated,1
may also experience significant disruption work social experiences needing continuously check whereabouts significant,1
risk prognostic factors environmental,1
separation anxiety disorder often develops life stress especially loss eg death relative pet illness individual relative change schools parental divorce move new neighborhood immigration disaster in­ volved periods separation attachment figures,1
young adults examples life stress include leaving parental home entering romantic relationship be­ coming parent,1
parental overprotection intrusiveness may associated sepa­ ration anxiety disorder,1
genetic physiological,1
separation anxiety disorder children may heritable,1
heritability estimated 73 community sample 6yearold twins higher rates girls,1
children separation anxiety disorder display particularly enhanced sensitivity respiratory stimulation using c02enriched air,1
cuiturerelated diagnostic issues cultural variations degree considered desirable tolerate separation demands opportunities separation parents chil­ dren avoided cultures,1
example wide variation across countries cultures respect age expected offspring leave parental home,1
important differentiate separation anxiety disorder high value cultures place strong interdependence among family members,1
genderreiated diagnostic issues girls manifest greater reluctance attend avoidance school boys,1
indirect ex­ pression fear separation may common males females example limited independent activity reluctance away home alone distress spouse offspring things independently contact spouse offspring possible,1
suicide risic separation anxiety disorder children may associated increased risk sui­ cide,1
community sample presence mood disorders anxiety disorders sub­ stance use associated suicidal ideation attempts,1
however association specific separation anxiety disorder found several anxiety disorders,1
functionai consequences separation anxiety disorder individuals separation anxiety disorder often limit independent activities away home attachment figures eg children avoiding school going camp difficulty sleeping alone adolescents going away college adults leaving parental home traveling working outside home,1
differential diagnosis generalized anxiety disorder,1
separation anxiety disorder distinguished gener­ alized anxiety disorder anxiety predominantly concerns separation attach­ ment figures worries occur predominate clinical picture,1
panic disorder,1
threats separation may lead extreme anxiety even panic at­ tack,1
separation anxiety disorder contrast panic disorder anxiety concerns possibility away attachment figures worry untoward events be­ falling rather incapacitated unexpected panic attack,1
agoraphobia,1
unlike individuals agoraphobia separation anxiety dis­ order anxious trapped incapacitated situations es­ cape perceived difficult event paniclike symptoms incapacitating symptoms,1
conduct disorder,1
school avoidance truancy common conduct disorder anx­ iety separation responsible school absences child adolescent usually stays away rather returns home,1
social anxiety disorder,1
school refusal may due social anxiety disorder social pho­ bia,1
instances school avoidance due fear judged negatively oth­ ers rather worries separated attachment figures,1
posttraumatic stress disorder,1
fear separation loved ones common trau­ matic events disasters particularly periods separation loved ones experienced traumatic event,1
posttraumatic stress disorder ptsd central symptoms concern intrusions avoidance memories associated traumatic event whereas separation anxiety disorder worries avoid­ ance concern wellbeing attachment figures separation,1
illness anxiety disorder,1
individuals illness anxiety disorder worry specific illnesses may main concern medical diagnosis separated attachment figures,1
bereavement,1
intense yearning longing deceased intense sorrow emo­ tional pain preoccupation deceased circumstances death ex­ pected responses occurring bereavement whereas fear separation attachment figures central separation anxiety disorder,1
depressive bipolar disorders,1
disorders may associated reluctance leave home main concern worry fear untoward events befalling at­ tachment figures rather low motivation engaging outside world,1
how­ ever individuals separation anxiety disorder may become depressed separated anticipation separation,1
oppositional defiant disorder,1
children adolescents separation anxiety disor­ der may oppositional context forced separate attachment figures,1
oppositional defiant disorder considered persistent opposi­ tional behavior unrelated anticipation occurrence separation attachment figures,1
psychotic disorders,1
unlike hallucinations psychotic disorders unusual per­ ceptual experiences may occur separation anxiety disorder usually based misperception actual stimulus occur certain situations eg nighttime reversed presence attachment figure,1
personality disorders,1
dependent personality disorder characterized indis­ criminate tendency rely others whereas separation anxiety disorder involves con­ cern proximity safety main attachment figures,1
borderline personality disorder characterized fear abandonment loved ones problems identity selfdirection interpersonal functioning impulsivity additionally central disorder whereas central separation anxiety disorder,1
comorbidity children separation anxiety disorder highly comorbid generahzed anxiety dis­ order specific phobia,1
adults common comorbidities include specific phobia ptsd panic disorder generalized anxiety disorder social anxiety disorder agoraphobia obsessivecompulsive disorder personality disorders,1
depressive bipolar disor­ ders also comorbid separation anxiety disorder adults,1
selective mutism diagnostic criteria 31223 f940,1
consistent failure speak specific social situations expectation speaking eg school despite speaking situations,1
b,1
disturbance interferes educational occupational achievement social communication,1
c duration disturbance least 1 month limited first month school,1
failure speak attributable lack knowledge comfort spoken language required social situation,1
e disturbance better explained communication disorder eg childhood onset fluency disorder occur exclusively course autism spectrum disorder schizophrenia another psychotic disorder,1
diagnostic features encountering individuals social interactions children selective mut­ ism initiate speech reciprocally respond spoken others,1
lack speech occurs social interactions children adults,1
children selective mut­ ism speak home presence immediate family members often even front close friends seconddegree relatives grandparents cousins,1
disturbance often marked high social anxiety,1
children selective mutism of­ ten refuse speak school leading academic educational impairment teachers often find difficult assess skills reading,1
lack speech may interfere social communication although children disorder sometimes use nonspoken nonverbal means eg grunting pointing writing communicate may willing eager perform engage social encounters speech required eg nonver­ bal parts school plays,1
associated features supporting diagnosis associated features selective mutism may include excessive shyness fear social em­ barrassment social isolation withdrawal clinging compulsive traits negativism temper tantrums mild oppositional behavior,1
although children disorder generally normal language skills may occasionally associated commu nication disorder although particular association specific communication dis­ order identified,1
even disorders present anxiety present well,1
clinical settings children selective mutism almost always given addi­ tional diagnosis another anxiety disorder—most commonly social anxiety disorder so­ cial phobia,1
prevalence selective mutism relatively rare disorder included diagnostic cat­ egory epidemiological studies prevalence childhood disorders,1
point prevalence using various clinic school samples ranges 003 1 depending set­ ting eg clinic vs school vs general population ages individuals sample,1
prevalence disorder seem vary sex raceethnicity,1
disor­ der likely manifest young children adolescents adults,1
development course onset selective mutism usually age 5 years disturbance may come clinical attention entry school increase social inter­ action performance tasks reading aloud,1
persistence disorder variable,1
although clinical reports suggest many individuals outgrow selective mutism longitudinal course disorder unknown,1
cases particularly individuals social anxiety disorder selective mutism may disappear symptoms social anxiety disorder remain,1
risk prognostic factors temperamental,1
temperamental risk factors selective mutism well identi­ fied,1
negative affectivity neuroticism behavioral inhibition may play role may parental history shyness social isolation social anxiety,1
children selective mutism may subtle receptive language difficulties compared peers al­ though receptive language still within normal range,1
environmental,1
social inhibition part parents may serve model social reticence selective mutism children,1
furthermore parents children selective mutism described overprotective controlling parents chil­ dren anxiety disorders disorder,1
genetic physiological factors,1
significant overlap selective mutism social anxiety disorder may shared genetic factors conditions,1
culturerelated diagnostic issues children families immigrated country different language spo­ ken may refuse speak new language lack knowledge language,1
comprehension new language adequate refusal speak persists diagno­ sis selective mutism may warranted,1
functional consequences selective mutism selective mutism may result social impairment children may anxious en­ gage reciprocal social interaction children,1
children selective mutism mature may face increasing social isolation,1
school settings children may suffer academic impairment often communicate teachers re­ garding academic personal needs eg understanding class assignment asking use restroom,1
severe impairment school social functioning including resulting teasing peers common,1
certain instances selective mutism may serve compensatory strategy decrease anxious arousal social encounters,1
differential diagnosis communication disorders,1
selective mutism distinguished speech dis­ turbances better explained communication disorder language disorder speech sound disorder previously phonological disorder childhoodonset fluency disorder stuttering pragmatic social communication disorder,1
unlike selec­ tive mutism speech disturbance conditions restricted specific social situation,1
neurodevelopmental disorders schizophrenia psychotic disorders,1
individuals autism spectrum disorder schizophrenia another psychotic disor­ der severe intellectual disability may problems social communication unable speak appropriately social situations,1
contrast selective mutism diagnosed child established capacity speak social situations eg typically home,1
social anxiety disorder social phobia,1
social anxiety social avoidance so­ cial anxiety disorder may associated selective mutism,1
cases diagno­ ses may given,1
comorbidity common comorbid conditions anxiety disorders commonly so­ cial anxiety disorder followed separation anxiety disorder specific phobia,1
oppo­ sitional behaviors noted occur children selective mutism although oppositional behavior may limited situations requiring speech,1
communication de­ lays disorders also may appear children selective mutism,1
specific phobia diagnostic criteria,1
marked fear anxiety specific object situation eg flying heights animals receiving injection seeing blood,1
note children fear anxiety may expressed crying tantrums freezing clinging,1
b,1
phobic object situation almost always provokes immediate fear anxiety,1
c phobic object situation actively avoided endured intense fear anxiety,1
fear anxiety proportion actual danger posed specific object situation sociocultural context,1
e fear anxiety avoidance persistent typically lasting 6 months,1
f fear anxiety avoidance causes clinically significant distress impairment social occupational important areas functioning,1
g disturbance better explained symptoms another mental disorder including fear anxiety avoidance situations associated paniclike symptoms incapacitating symptoms agoraphobia objects situations related obsessions obsessivecompulsive disorder reminders traumatic events posttraumatic stress disorder separation home attachment figures sep­ aration anxiety disorder social situations social anxiety disorder,1
specify code based phobic stimulus 30029 f40218 animal eg spiders insects dogs,1
30029 f40228 natural environm ent eg heights storms water,1
30029 f4023x bloodinjectioninjury eg needles invasive medical procedures,1
coding note select specific icd10cm code follows f40230 fear blood f40231 fear injections transfusions f40232 fear medical care f40233 fear injury,1
30029 f40248 situational eg airplanes elevators enclosed places,1
30029 f40298 eg situations may lead choking vomiting chil­ dren eg loud sounds costumed characters,1
coding note one phobic stimulus present code icd10cm codes apply eg fear snakes flying f40218 specific phobia animal f40248 specific phobia situational,1
specifiers common individuals multiple specific phobias,1
average individual specific phobia fears three objects situations approximately 75 individuals specific phobia fear one situation object,1
cases multiple specific phobia diagnoses diagnostic code reflecting phobic stimulus would need given,1
example individual fears thunderstorms flying two diagnoses would given specific phobia natural environment specific phobia situational,1
diagnostic features key feature disorder fear anxiety circumscribed presence particular situation object criterion may termed phobic stimulus,1
cat­ egories feared situations objects provided specifiers,1
many individuals fear objects situations one category phobic stimulus,1
diagnosis specific phobia response must differ normal transient fears commonly occur pop­ ulation,1
meet criteria diagnosis fear anxiety must intense severe ie marked criterion,1
amount fear experienced may vary proximity feared object situation may occur anticipation actual presence object situation,1
also fear anxiety may take form full limited symptom panic at­ tack ie expected panic attack,1
another characteristic specific phobias fear anxi­ ety evoked nearly every time individual comes contact phobic stimulus criterion b,1
thus individual becomes anxious occasionally upon con­ fronted situation object eg becomes anxious flying one every five airplane flights would diagnosed specific phobia,1
however degree fear anxiety expressed may vary anticipatory anxiety full panic attack across different occasions encountering phobic object situation various contextual factors presence others duration exposure threatening elements turbulence flight individuals fear flying,1
fear anxiety often expressed dif­ ferently children adults,1
also fear anxiety occurs soon phobic ob­ ject situation encountered ie immediately rather delayed,1
individual actively avoids situation either unable decides avoid situation object evokes intense fear anxiety criterion c,1
active avoidance means individual intentionally behaves ways designed prevent minimize contact phobic objects situations eg takes tunnels instead bridges daily commute work fear heights avoids entering dark room fear spi­ ders avoids accepting job locale phobic stimulus common,1
avoid ance behaviors often obvious eg individual fears blood refusing go doctor sometimes less obvious eg individual fears snakes refusing look pictures ihat resemble form shape snakes,1
many individuals specific phobias suffered many years changed living circumstances ways designed avoid phobic object situation much possible eg indi­ vidual diagnosed specific phobia animal moves reside area devoid particular feared animal,1
therefore longer experience fear anxiety daily life,1
instances avoidance behaviors ongoing refusal engage activities would involve exposure phobic object situation eg repeated refusal ac­ cept offers workrelated travel fear flying may helpful confirming diagnosis absence overt anxiety panic,1
fear anxiety proportion actual danger object situation poses intense deemed necessary criterion,1
although individuals specific phobia often recognize reactions disproportionate tend overesti­ mate danger feared situations thus judgment propor­ tion made clinician,1
individuals sociocultural context also taken account,1
example fears dark may reasonable context ongoing violence fear insects may disproportionate settings insects consumed diet,1
fear anxiety avoidance persistent typically lasting 6 months criterion e helps distinguish disorder transient fears common population particularly among children,1
however duration criterion used general guide allowance degree flexibility,1
specific phobia must cause clinically significant distress impairment social oc­ cupational important areas functioning order disorder diag­ nosed criterion f,1
associated features supporting diagnosis individuals specific phobia typically experience increase physiological arousal anticipation exposure phobic object situation,1
however physi­ ological response feared situation object varies,1
whereas individuals situa­ tional natural environment animal specific phobias likely show sympathetic nervous system arousal individuals bloodinjectioninjury specific phobia often demonstrate vasovagal fainting nearfainting response marked initial brief acceleration heart rate elevation blood pressure followed deceleration heart rate drop blood pressure,1
current neural systems models specific phobia emphasize amygdala related structures much anxiety disorders,1
prevaience united states 12month community prevalence estimate specific phobia approximately 79,1
prevalence rates european countries largely similar united states eg 6 rates generally lower asian african latin american countries 24,1
prevalence rates approximately 5 children approximately 16 13 17yearolds,1
prevalence rates lower older individ­ uals 35 possibly reflecting diminishing severity subclinical levels,1
females frequently affected males rate approximately 21 although rates vary across different phobic stimuli,1
animal natural environment situational spe­ cific phobias predominantly experienced females whereas bloodinjectioninjury phobia experienced nearly equally genders,1
development course specific phobia sometimes develops following traumatic event eg attacked animal stuck elevator observation others going traumatic event eg watching someone drown unexpected panic attack feared situation eg unexpected panic attack subway informational transmission eg ex­ tensive media coverage plane crash,1
however many individuals specific phobia unable recall specific reason onset phobias,1
specific phobia usu­ ally develops early childhood majority cases developing prior age 10 years,1
median age onset 7 11 years mean 10 years,1
situational specific phobias tend later age onset natural environment an­ imal bloodinjectioninjury specific phobias,1
specific phobias develop child­ hood adolescence likely wax wane period,1
however phobias persist adulthood unlikely remit majority individuals,1
specific phobia diagnosed children two issues considered,1
first young children may express fear anxiety crying tantrums freezing clinging,1
second young children typically able understand concept avoidance,1
therefore clinician assemble additional information parents teachers others know child well,1
excessive fears quite common young children usually transitory mildly impairing thus considered devel­ opmentally appropriate,1
cases diagnosis specific phobia would made,1
diagnosis specific phobia considered child important assess degree impairment duration fear anxiety avoidance whether typical childs particular developmental stage,1
although prevalence specific phobia lower older populations remains one commonly experienced disorders late life,1
several issues con­ sidered diagnosing specific phobia older populations,1
first older individuals may likely endorse natural environment specific phobias well phobias falling,1
second specific phobia like anxiety disorders tends cooccur medical concerns older individuals including coronary heart disease chronic obstructive pulmonary disease,1
third older individuals may likely attribute symptoms anxiety medical conditions,1
fourth older individuals may likely manifest anxiety atypical manner eg involving symptoms anxiety depression thus likely warrant diagnosis unspecified anxiety disorder,1
addition­ ally presence specific phobia older adults associated decreased quality life may serve risk factor major neurocognitive disorder,1
although specific phobias develop childhood adolescence possible specific phobia develop age often result experiences traumatic,1
example phobias choking almost always follow nearchoking event age,1
risk prognostic factors temperamental,1
temperamental risk factors specific phobia negative affec tivity neuroticism behavioral inhibition risk factors anxiety disorders well,1
environmental,1
environmental risk factors specific phobias parental over­ protectiveness parental loss separation physical sexual abuse tend pre­ dict anxiety disorders well,1
noted earlier negative traumatic encounters feared object situation sometimes always precede development specific phobia,1
genetic physiological,1
may genetic susceptibility certain category specific phobia eg individual firstdegree relative specific phobia an­ imals significantly likely specific phobia category phobia,1
individuals bloodinjectioninjury phobia show unique propensity vasovagal syncope fainting presence phobic stimulus,1
culturerelated diagnostic issues united states asians latinos report significantly lower rates specific phobia nonlatino whites african americans native americans,1
addition lower prevalence rates specific phobia countries outside united states par­ ticularly asian african countries show differing phobia content age onset gender ratios,1
suicide risk individuals specific phobia 60 likely make suicide attempt individuals without diagnosis,1
however likely elevated rates primarily due comorbidity personality disorders anxiety disorders,1
functional consequences specific phobia individuals specific phobia show similar patterns impairment psychosocial functioning decreased quality life individuals anxiety disorders alcohol substance use disorders including impairments occupational inter­ personal functioning,1
older adults impairment may seen caregiving duties volunteer activities,1
also fear falling older adults lead reduced mobility reduced physical social functioning may lead receiving formal informal home support,1
distress impairment caused specific phobias tend increase number feared objects situations,1
thus individual fears four ob­ jects situations likely impairment occupational social roles lower quality life individual fears one object situation,1
individuals bloodinjectioninjury specific phobia often reluctant obtain med­ ical care even medical concern present,1
additionally fear vomiting chok­ ing may substantially reduce dietary intake,1
differential diagnosis agoraphobia,1
situational specific phobia may resemble agoraphobia clinical pre­ sentation given overlap feared situations eg flying enclosed places elevators,1
individual fears one agoraphobia situations specific phobia situa­ tional may diagnosed,1
two agoraphobic situations feared diagnosis agoraphobia likely warranted,1
example individual fears airplanes ele­ vators overlap public transportation agoraphobic situation fear agoraphobic situations would diagnosed specific phobia situa­ tional whereas individual fears airplanes elevators crowds overlap two agoraphobic situations using public transportation standing line crowd would diagnosed agoraphobia,1
criterion b agoraphobia situations feared avoided thoughts escape might difficult help might available event developing paniclike symptoms inca­ pacitating embarrassing symptoms also useful differentiating agoraphobia specific phobia,1
situations feared reasons fear harmed directly object situations eg fear plane crashing fear an­ imal biting specific phobia diagnosis may appropriate,1
social anxiety disorder,1
situations feared negative evaluation so­ cial anxiety disorder diagnosed instead specific phobia,1
separation anxiety disorder,1
situations feared separation primary caregiver attachment figure separation anxiety disorder diagnosed instead specific phobia,1
panic disorder,1
individuals specific phobia may experience panic attacks con­ fronted feared situation object,1
diagnosis specific phobia would given panic attacks occurred response specific object situation whereas di­ agnosis panic disorder would given individual also experienced panic attacks unexpected ie response specific phobia object situation,1
obsessivecompulsive disorder,1
individuals primary fear anxiety ob­ ject situation result obsessions eg fear blood due obsessive thoughts contamination bloodborne pathogens ie hiv fear driving due obsessive im­ ages harming others diagnostic criteria obsessivecompulsive disorder met obsessivecompulsive disorder diagnosed,1
trauma stressorrelated disorders,1
phobia develops following traumatic event posttraumatic stress disorder ptsd considered diagnosis,1
how­ ever traumatic events precede onset ptsd specific phobia,1
case di­ agnosis specific phobia would assigned criteria ptsd met,1
eating disorders,1
diagnosis specific phobia given avoidance behavior exclusively limited avoidance food foodrelated cues case diagnosis anorexia nervosa bulimia nervosa considered,1
schizophrenia spectrum psychotic disorders,1
fear avoidance due delusional thinking schizophrenia schizophrenia spectrum psychotic disorders diagnosis specific phobia warranted,1
comorbidity specific phobia rarely seen medicalclinical settings absence psycho­ pathology frequently seen nonmedical mental health settings,1
specific pho­ bia frequently associated range disorders especially depression older adults,1
early onset specific phobia typically temporally primary disorder,1
individuals specific phobia increased risk development dis­ orders including anxiety disorders depressive bipolar disorders substance related disorders somatic symptom related disorders personality disorders par­ ticularly dependent personality disorder,1
social anxiety disorder social phobia diagnostic criteria 30023 f4010,1
marked fear anxiety one social situations individual exposed possible scrutiny others,1
examples include social interactions eg hav­ ing conversation meeting unfamiliar people observed eg eating drink­ ing performing front others eg giving speech,1
note children anxiety must occur peer settings interac­ tions adults,1
b,1
individual fears act way show anxiety symptoms negatively evaluated ie humiliating embarrassing lead rejection offend others,1
c social situations almost always provoke fear anxiety,1
note children fear anxiety may expressed crying tantrums freezing clinging shrinking failing speak social situations,1
social situations avoided endured intense fear anxiety,1
e fear anxiety proportion actual threat posed social situation sociocultural context,1
f fear anxiety avoidance persistent typically lasting 6 months,1
g fear anxiety avoidance causes clinically significant distress impairment social occupational important areas functioning,1
h fear anxiety avoidance attributable physiological effects sub­ stance eg drug abuse medication another medical condition,1
,1
fear anxiety avoidance better explained symptoms another mental disorder panic disorder body dysmoφhic disorder autism spectrum disorder,1
j,1
another medical condition eg parkinson’s disease obesity disfigurement bums injury present fear anxiety avoidance clearly unrelated excessive,1
specify performance fear restricted speaking performing public,1
specifiers individuals performance type social anxiety disorder performance fears typically impairing professional lives eg musicians dancers performers athletes roles require regular public speaking,1
performance fears may also manifest work school academic settings regular public presenta­ tions required,1
individuals performance social anxiety disorder fear avoid nonperformance social situations,1
diagnostic features essential feature social anxiety disorder marked intense fear anxiety so­ cial situations individual may scrutinized others,1
children fear anxiety must occur peer settings interactions adults criterion,1
exposed social situations individual fears neg­ atively evaluated,1
individual concerned judged anxious weak crazy stupid boring intimidating dirty unlikable,1
individual fears act appear certain way show anxiety symptoms blushing trembling sweating stumbling ones words staring negatively eval­ uated others criterion b,1
individuals fear offending others rejected result,1
fear offending others—for example gaze showing anxiety symp­ toms—may predominant fear individuals cultures strong collectivistic orientations,1
individual fear trembling hands may avoid drinking eat­ ing writing pointing public individual fear sweating may avoid shaking hands eating spicy foods individual fear blushing may avoid public per­ formance bright lights discussion intimate topics,1
individuals fear avoid urinating public restrooms individuals present ie paruresis shy bladder syndrome,1
social situations almost always provoke fear anxiety criterion c,1
thus in­ dividual becomes anxious occasionally social situations would di­ agnosed social anxiety disorder,1
however degree type fear anxiety may vary eg anticipatory anxiety panic attack across different occasions,1
antici­ patory anxiety may occur sometimes far advance upcoming situations eg worrying every day weeks attending social event repeating speech days advance,1
children fear anxiety may expressed crying tantrums freezing clinging shrinking social situations,1
individual often avoid feared social situations,1
alternatively situations endured intense fear anxiety criterion,1
avoid ance extensive eg going parties refusing school subtle eg overpre­ paring text speech diverting attention others limiting eye contact,1
fear anxiety judged proportion actual risk nega­ tively evaluated consequences negative evaluation criterion e,1
some­ times anxiety may judged excessive related actual danger eg bullied tormented others,1
however individuals social anx­ iety disorder often overestimate negative consequences social situations thus judgment proportion made clinician,1
